microns,Back,Si,S,Cl,Ar,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Se,Br,Kr,Rb,Sr,HgL,,Compton,elastic,sum,Flux0,Flux1
        740.0000000000000,8952.074,-93702.82,-7169.125,-3210.578,2050.798,-847.9811,-222.3974,-92.5557,-11.04173,-13.82101,-1.418802,239.2006,2.398431,15.2208,464.6689,2.329146,23.07087,-4.397086,-3.454947,3.914227,13.3276,,3315618,688674.1,-813.7654,   3.456648E+08,   2.116509E+08
        750.0000000000000,9382.3,-78575.03,-9000.363,-3618.176,244.6879,-533.5299,-200.5018,-53.26423,-27.60967,-4.503672,-2.4578,254.4273,4.85234,15.49547,450.6191,-3.196644,29.99799,-4.919141,-1.962449,3.353296,8.492822,,3300060,705904.7,-1176.021,   3.456648E+08,   2.108142E+08
        760.0000000000000,8652.633,-71199.97,-9284.83,-1680.137,2801.143,-344.554,-206.3942,-79.17872,-21.10955,-7.839085,-13.80668,262.4933,-6.90696,19.6984,446.1598,0.6672836,31.27508,-1.816079,-3.499263,7.871788,14.74783,,3304423,681853.9,-906.058,   3.456648E+08,   2.114000E+08
        770.0000000000000,8884.376,-62511.55,-4143.545,-5007.522,1960.223,-801.3484,-110.3263,-46.73426,-4.638947,-1.504949,-3.98798,257.8477,-8.174041,25.51269,482.6316,-0.7864132,23.70917,-4.575508,-1.160667,8.741095,18.73483,,3356620,695425.5,-951.6476,   3.456648E+08,   2.119288E+08
        780.0000000000000,7959.615,-15578.52,-3181.902,-5069.396,1196.294,-371.3395,-90.2227,-72.82537,13.62874,5.29832,-14.32185,237.1773,1.223096,21.28944,482.6547,3.130798,34.63148,-1.058561,-0.7214664,3.283834,18.68012,,3390239,690569.8,-786.2917,   3.456648E+08,   2.119131E+08
        790.0000000000000,8947.089,-56366.42,-7070.04,-2363.193,719.1364,-270.5239,-343.2976,-55.35072,7.907928,-2.839752,-2.440517,230.4897,-1.577343,15.385,485.485,-1.441676,32.09202,-3.298089,-5.226336,8.169787,23.04906,,3365154,734825.7,-1437.256,   3.456648E+08,   2.112285E+08
        800.0000000000000,8730.153,-66994.12,-7003.206,-2574.636,242.9005,-202.0966,-116.7157,-68.13978,-0.6970468,10.15597,-11.70537,241.5966,0.7923531,23.57744,491.6626,-1.285702,31.41183,-1.629572,-5.045472,5.449248,7.620422,,3347742,745867.9,-923.7344,   3.456648E+08,   2.110097E+08
        810.0000000000000,9263.212,-76817.67,-7393.869,-4268.581,1967.251,-812.1531,-251.8032,-69.33991,-24.88645,-14.93414,2.191242,222.5045,0.3863353,14.68683,453.1037,-0.4423615,33.91108,-5.508237,-7.051686,2.166155,18.50922,,3427939,714523.8,-1378.162,   3.456648E+08,   2.113189E+08
        820.0000000000000,8226.251,-62945.07,-5477.033,-4922.815,1788.611,-472.949,-82.26823,-78.3923,17.95696,-7.098871,-10.52203,265.7986,-5.854034,22.94926,482.5866,1.552109,27.86006,-2.943087,-5.036135,3.776903,18.55909,,3392960,708522.1,-789.811,   3.456648E+08,   2.107846E+08
        830.0000000000000,9059.64,-46938.95,-8588.754,-3692.737,1163.361,-416.7923,-240.7043,2.423947,-28.32117,3.075291,-7.328151,208.322,-5.085636,21.82584,476.5748,0.8896633,30.12453,-5.125439,-5.799756,3.121743,10.33188,,3510699,756120.7,-1173.342,   3.456648E+08,   2.110164E+08
